"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA027 Kin terms for cousins,Code: EA027 Kin terms for cousins,Description: EA027 Kin terms for cousins,Comment: EA027 Kin terms for cousins,Subcase: EA027 Kin terms for cousins,References: EA027 Kin terms for cousins,Focal Year: EA043 Descent: major type,Code: EA043 Descent: major type,Description: EA043 Descent: major type,Comment: EA043 Descent: major type,Subcase: EA043 Descent: major type,References: EA043 Descent: major type
Ethnographic Atlas,Lepcha,Ee3,xd655,Lepcha (Ee3),28.0,89.0,28.0,89.0,lepc1244,Lepcha,lep,Sino-Tibetan,1930,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Lingthem and vicinity,Morris(1938); Gorer(1938); Das and Banerjee(1962); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Lingthem and vicinity,Morris(1938); Gorer(1938); Das and Banerjee(1962); 
Ethnographic Atlas,Kashmiri,Ef8,xd670,Kashmir (Ef8),34.0,75.0,34.0,75.0,kash1277,Kashmiri,kas,Indo-European,1950,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,with special reference to the Pandit or Sarasvati Brahmans,Crane(1955); Lawrence(1895); Madan(1965); ,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,with special reference to the Pandit or Sarasvati Brahmans,Crane(1955); Lawrence(1895); Madan(1965); 
Ethnographic Atlas,Upolu Samoans,Ii14,xd880,Upolu (Ii14),-13.94,-171.77,-14.0,172.0,samo1305,Samoan,smo,Austronesian,1829,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Grattan(1948); Bulow(1971); Buck(1930); Stair(1897); Turner(1884); Kramer(1906); Keesing(1934); Kramer(1901-02); Ember(1962); Davidson(1948); Panoff(1964); ,1829,5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)",,,Grattan(1948); Bulow(1971); Buck(1930); Stair(1897); Turner(1884); Kramer(1906); Keesing(1934); Kramer(1901-02); Ember(1962); Davidson(1948); Panoff(1964); 
Ethnographic Atlas,Mandan,Ne6,xd1225,Mandan (Ne6),47.0,-101.0,47.0,-101.0,mand1446,Mandan,mhq,Siouan,1830,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,,Bowers(1950); Lowie(1917a); Will and Spinden(1906); ,1830,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Bowers(1950); Lowie(1917a); Will and Spinden(1906); 
Ethnographic Atlas,!Kung,Aa1,xd1,Kung (Aa1),-20.0,21.0,-20.0,21.0,juho1239,Ju'hoan,ktz,Kxa,1950,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,Nyai Nyae region,Marshall(1976); Marshall(1965); Marshall(1962); Marshall(1961); Marshall(1960); Harpending(1971); Marshall(1958); Marshall(1957b); Marshall(1957a); Marshall(1957); Marshall(1956); Hansen et al.(1969); Konner(1977); Konner(1973); Konner(1972); Konner(1971); Biesele(1976); Biesele(1975); Biesele(1972); Tobias(1978); Thomas(1959); Marshall(1959); Schapera(1930); Draper(nd); Draper(1975); Draper(1972); Shostak(1981); Howell(nd); Howell(1979); Marshall and Marshall(1956); Lee(1979); Lee(1974); Lee(1972); Lee(1968); Lee(1966); Lee and DeVore(1976); ,1950,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,Nyai Nyae region,Marshall(1976); Marshall(1965); Marshall(1962); Marshall(1961); Marshall(1960); Harpending(1971); Marshall(1958); Marshall(1957b); Marshall(1957a); Marshall(1957); Marshall(1956); Hansen et al.(1969); Konner(1977); Konner(1973); Konner(1972); Konner(1971); Biesele(1976); Biesele(1975); Biesele(1972); Tobias(1978); Thomas(1959); Marshall(1959); Schapera(1930); Draper(nd); Draper(1975); Draper(1972); Shostak(1981); Howell(nd); Howell(1979); Marshall and Marshall(1956); Lee(1979); Lee(1974); Lee(1972); Lee(1968); Lee(1966); Lee and DeVore(1976); 
Ethnographic Atlas,Kadazan-Dusun,Ib5,xd754,Dusun (Ib5),6.0,117.0,6.0,117.0,cent2100,Central Dusun,dtp,Austronesian,1920,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,with special reference to the village of Sensuron,Williams(nd); Evans(1922); Rutter(1929); Williams(1965); ,1920,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,with special reference to the village of Sensuron,Williams(nd); Evans(1922); Rutter(1929); Williams(1965); 
Ethnographic Atlas,Muria Gond,Eg13,xd676,Muria Gond (Eg13),20.0,81.0,20.0,81.0,nort2702,Northern Gondi,gno,Dravidian,1941,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,Bastar State,Elwin(1957); ,1941,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Bastar State,Elwin(1957); 
Ethnographic Atlas,Sivokakmeit,Na11,xd1028,Sivokakmeit (Na11),63.34,-170.3,63.0,-170.0,aiwa1238,Aiwanat,,Eskimo-Aleut,1920,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Moore(1923); Hughes(1960); Hughes(1958); ,1920,7,"Mixed (EA017  and/or EA019 > 1,and EA021 not equal to 9)",,,Moore(1923); Hughes(1960); Hughes(1958); 
Ethnographic Atlas,Bunun,Ia10,xd733,Bunun (Ia10),24.0,121.0,24.0,121.0,bunu1267,Bunun,bnn,Austronesian,1930,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",But Omaha in reference,,Mabuchi(1952); Chiu(1962); Mabuchi(1960); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Mabuchi(1952); Chiu(1962); Mabuchi(1960); 
Ethnographic Atlas,Ndaka Babali,Ae33,xd153,Ndaka Babali (Ae33),1.0,27.0,1.0,27.0,bali1274,Bali (Democratic Republic of Congo),bcp,Atlantic-Congo,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Van Geluwe(1960); Schebesta(1934); Moeller(1936); Czekanowski(1924h); 
Ethnographic Atlas,Byelorussians,Ch6,xd570,Byelorussians (Ch6),55.0,28.0,55.0,28.0,bela1254,Belarusian,bel,Indo-European,1910,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,,Ember(1954); ,1910,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Ember(1954); 
Ethnographic Atlas,Bunda,Ac21,xd46,Bunda (Ac21),-5.0,19.0,-5.0,19.0,mpuo1241,Mpuono,zmp,Atlantic-Congo,1910,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Weekx(1937); Torday(1910); Decker(1942); ,1910,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Weekx(1937); Torday(1910); Decker(1942); 
Ethnographic Atlas,Kainai,Ne13,xd1212,Blood (Ne13),51.0,-115.0,51.0,-115.0,bloo1239,Blood,,Algic,1850,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Wissler(1910); Goldfrank(1945a); Wissler(1912); Ewers(1955); ,1850,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Wissler(1910); Goldfrank(1945a); Wissler(1912); Ewers(1955); 
Ethnographic Atlas,Northern Aranda,Id1,xd772,Aranda (Id1),-24.0,134.0,-24.0,134.0,east2379,Eastern Arrernte,aer,Pama-Nyungan,1900,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,Alice Springs and environs,Spencer and Gillen(1927); Murdock(1934m); Strehlow(1907-11); ,1900,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",,Alice Springs and environs,Spencer and Gillen(1927); Murdock(1934m); Strehlow(1907-11); 
Ethnographic Atlas,Gbande,Af54,xd235,Gbande (Af54),8.0,-10.0,8.0,-10.0,band1352,Bandi,bza,Mande,,NA,Missing data,,,,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Schwab(1947); Germann(1933); 
Ethnographic Atlas,Puku,Ae47,xd168,Puku (Ae47),2.0,10.0,2.0,10.0,bata1285,Batanga,bnm,Atlantic-Congo,,NA,Missing data,,,,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Zeller(1885); Oertzen(1903); 
Ethnographic Atlas,Zekara,Cd10,xd508,Zekara (Cd10),34.0,-2.0,34.0,-2.0,tidi1241,Tidikelt Tamazight,tia,Afro-Asiatic,1900,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Moulieras(1905); Destaing(1907-11); ,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Moulieras(1905); Destaing(1907-11); 
